PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,total_grp,cnt_grp,star
240002,1.3397189865,0.1120663604,0.6972571237,0.0632243392,0.4821813597,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5445604613,7,8,9,8,9,5,2,1,5,3) # of groups=5,5
240004,-0.165702974,-0.183931919,0.2915148453,-0.771844932,-0.028780129,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.186045911,6,6,9,8,10,5,2,1,5,3) # of groups=5,3
240010,2.6048136559,-0.134051179,1.023309401,1.9827937536,-1.606708954,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,1.0121053645,7,8,11,8,10,5,2,1,5,3) # of groups=5,5
240020,0.9962957331,0.5873926755,0.4765062656,0.8230999582,-0.907165819,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5254649208,3,3,9,8,11,5,2,1,5,3) # of groups=5,5
240036,0.8132007794,0.614131842,-0.373834925,0.671124522,-1.048796161,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2535613487,7,8,11,8,10,5,2,1,5,3) # of groups=5,4
240038,0.240283658,0.6450849111,0.8319419163,-0.023445876,-0.974326469,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2557310377,7,8,11,8,10,5,2,1,5,3) # of groups=5,4
24003F,1.7372419029,-0.053205489,-0.826262092,1.1410827769,-0.892364354,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3326648392,5,4,6,8,5,5,2,1,5,3) # of groups=5,4
240043,1.8622050548,0.1835401144,0.0861671166,0.2120063649,0.5947068752,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5870269282,4,4,9,8,12,5,2,1,5,3) # of groups=5,5
240044,-0.495019162,0.2842260505,-0.306639452,0.8300315654,0.3775253087,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1140748175,3,3,6,8,9,5,2,1,5,3) # of groups=5,4
240047,-0.313896598,-0.329155894,0.0640027028,0.691241206,0.2569220779,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0555127609,7,7,11,8,10,5,2,1,5,3) # of groups=5,4
240050,0.4306330762,0.2348086354,0.4332899384,0.1396008051,0.0893177297,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2831512677,4,3,7,8,12,5,2,1,5,3) # of groups=5,4
240052,-0.162661341,0.8433157654,-1.275800203,1.9765592703,-1.390224471,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1370840317,4,3,9,8,10,5,2,1,5,3) # of groups=5,4
240053,0.3804065333,-0.013622702,0.4219663195,1.2127912127,0.3795835845,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4858891301,7,8,11,8,11,5,2,1,5,3) # of groups=5,5
240056,1.1720033522,0.6421284105,-0.222181365,1.37514077,0.2453928841,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6822072031,5,5,8,8,11,5,2,1,5,3) # of groups=5,5
240057,1.4108883993,0.4792380298,0.3040671272,0.668391314,-0.907704862,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.520844088,7,8,11,8,10,5,2,1,5,3) # of groups=5,5
240064,-0.481551369,0.0538007643,-0.428905668,0.6449989438,-0.401068542,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.094692838,3,3,9,8,12,5,2,1,5,3) # of groups=5,3
240066,0.3383446559,-0.215945482,0.4122278112,1.6511630317,0.5644978618,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5486135471,4,4,9,8,10,5,2,1,5,3) # of groups=5,5
240069,-0.23790501,0.3007261605,0.5491978607,1.1493533441,-0.85329274,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2851067894,3,3,6,8,9,5,2,1,5,3) # of groups=5,4
240075,0.0735599374,1.1069858263,-0.526930498,0.3015679075,0.2670854334,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2421905501,5,6,10,8,11,5,2,1,5,3) # of groups=5,4
240078,0.3663003552,0.6761476934,0.2631403077,-0.327398653,0.1769148423,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2364315158,7,8,11,8,10,5,2,1,5,3) # of groups=5,4
240080,-0.015779288,-1.120672046,-0.446538253,0.0210075011,-0.281507296,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.377416934,7,8,11,8,9,5,2,1,5,3) # of groups=5,2
240088,-0.407196412,0.1055574562,-1.596993392,0.4185143939,0.1111339171,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.31228988,4,4,9,8,10,5,2,1,5,3) # of groups=5,2
240093,1.4127364956,0.5398008359,0.5293095987,0.8177226222,-0.219476075,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6995681725,6,7,10,8,11,5,2,1,5,3) # of groups=5,5
240100,0.8655397637,0.1118931216,0.4629629943,-0.327398653,-0.228845935,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2173978777,6,7,10,8,11,5,2,1,5,3) # of groups=5,4
240101,0.3227071728,0.2384412641,0.0963734223,0.6228264124,0.1673969307,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3017642514,3,3,9,8,10,5,2,1,5,3) # of groups=5,4
240104,0.2839237933,-0.105956126,-1.248749811,0.2954934475,-0.721303953,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.257119988,4,5,9,8,10,5,2,1,5,3) # of groups=5,3
240106,0.2510374916,-0.90631137,0.0627640263,0.0711124515,-0.377484681,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.16000559,7,8,11,8,10,5,2,1,5,3) # of groups=5,3
240115,1.0617540108,-0.128609316,-0.215146967,0.2341591328,-0.114380032,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1957489054,7,8,11,8,10,5,2,1,5,3) # of groups=5,4
240207,0.7161710689,0.0403996163,-0.187069745,0.0485592726,0.530872639,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1996779634,6,7,8,8,11,5,2,1,5,3) # of groups=5,4
240210,1.1077130421,0.3060549829,0.2129273155,-0.765061166,-0.554614927,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1230057272,6,7,9,8,10,5,2,1,5,3) # of groups=5,4
240213,0.8390616063,0.2093424846,0.0617250907,0.668391314,0.0158631373,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3931780855,3,6,9,8,12,5,2,1,5,3) # of groups=5,5
250001,-0.902326226,-1.328861955,-0.101117516,0.1388179392,-0.055868488,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.489271525,7,8,10,8,10,5,2,1,5,3) # of groups=5,2
250004,-0.676721824,0.8908681327,0.7547533529,0.5137698457,-0.61859578,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.251955798,7,7,11,8,9,5,2,1,5,3) # of groups=5,4
250006,-0.394544732,0.4678403309,0.9053148074,1.1833064265,0.6252683895,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5506539099,4,4,9,8,10,5,2,1,5,3) # of groups=5,5
250007,-0.42554511,-0.562287324,-1.274073997,-1.246102848,-1.003415999,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.892171961,4,5,7,8,9,5,2,1,5,3) # of groups=5,1
250009,-1.281990819,-0.012598668,-0.579758614,1.5149371484,-0.634709111,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.155235503,7,7,9,8,10,5,2,1,5,3) # of groups=5,3
250019,-1.314705882,-0.094936959,-0.601463026,-0.112680568,-1.102800465,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.599569071,7,8,11,8,10,5,2,1,5,3) # of groups=5,2
250025,-1.321289758,0.269135807,0.4598119608,1.3511811612,0.252256553,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1972154039,4,3,6,8,8,5,2,1,5,3) # of groups=5,4
250031,-0.78242026,-0.826291005,-0.264252043,0.2701274088,-1.302276586,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.508897088,5,6,8,8,10,5,2,1,5,3) # of groups=5,2
250034,-0.760390751,-0.931288391,-0.595658752,0.4352898259,0.4944656124,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.348114701,7,7,11,8,11,5,2,1,5,3) # of groups=5,2
250036,-0.750414449,-0.852020757,-0.760828351,0.7489074177,-1.103241288,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.487547305,3,3,5,8,8,5,2,1,5,3) # of groups=5,2
250040,-1.297165261,-1.12256889,0.0059266512,0.2911956905,-0.524921331,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.529965158,7,8,11,8,11,5,2,1,5,3) # of groups=5,2
250048,-0.588073227,-0.448860447,0.4611053669,0.2109267859,-0.819727974,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.178645691,7,8,11,8,9,5,2,1,5,3) # of groups=5,3
250050,-3.169082855,-0.104451283,0.8271947978,0.0475532537,-0.912808186,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.637269921,3,4,6,8,9,5,2,1,5,3) # of groups=5,2
250058,-1.222891453,-1.421679562,0.6537209557,-0.244620876,-0.170601611,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.512275799,6,7,10,8,10,5,2,1,5,3) # of groups=5,2
250069,-2.34772607,0.5977746798,-1.275269986,-0.249615757,0.3584888613,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.677445506,6,7,10,8,11,5,2,1,5,3) # of groups=5,2
250072,-0.432443671,-1.655366566,-0.3808837,-1.416093318,-0.451580436,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.908842849,7,5,8,8,8,5,2,1,5,3) # of groups=5,1
250078,-3.066909188,-1.098347095,-0.72687251,0.3582040542,-0.220584814,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.02393362,7,8,11,8,10,5,2,1,5,3) # of groups=5,1
250082,-1.99849213,-1.417574002,0.6649946889,-1.268638071,-0.13337539,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.90034114,5,6,10,8,10,5,2,1,5,3) # of groups=5,1
250084,-1.791455852,-0.689711079,-0.219872985,-0.360407412,-0.295461155,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.708973751,4,5,6,8,11,5,2,1,5,3) # of groups=5,2
250093,-0.142374558,-2.022030364,1.0519886663,0.1489151107,-0.342815024,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.253108055,3,3,6,8,10,5,2,1,5,3) # of groups=5,3
250094,-0.959036651,-0.53705602,-2.134017671,-0.391218976,-0.012857359,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.886235333,7,7,9,8,11,5,2,1,5,3) # of groups=5,1
250097,-1.968667382,-2.548987125,-1.230993262,-1.18906629,-0.451438994,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.580469772,5,4,10,8,11,5,2,1,5,3) # of groups=5,1
250099,-0.193083374,-1.123854824,-0.993997844,-0.46968104,-1.070746348,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.74022532,5,5,8,8,11,5,2,1,5,3) # of groups=5,1
250100,-1.145476193,-0.478927661,0.1063040199,0.8177226222,0.7614993776,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.062703061,7,8,10,8,9,5,2,1,5,3) # of groups=5,3
250102,0.1430876004,0.2059198949,-0.754968419,0.2109267859,-0.009906268,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.044096262,7,8,11,8,10,5,2,1,5,3) # of groups=5,3
250104,-2.404176478,0.5168367507,-0.718727279,0.3015679075,-0.521256792,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.569540617,7,7,11,8,10,5,2,1,5,3) # of groups=5,2
250117,0.045458092,-1.891693895,0.5754381783,-0.196872049,0.6215083793,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.248306323,4,4,6,8,11,5,2,1,5,3) # of groups=5,3
250123,-0.986605683,-0.091732893,-1.095174928,-1.172290858,-0.520413441,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.798526573,3,6,7,8,9,5,2,1,5,3) # of groups=5,1
250138,-0.341553947,-0.173950515,-0.077303943,-1.018908992,-0.863275798,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.458170923,4,6,7,8,8,5,2,1,5,3) # of groups=5,2
250141,-0.698056299,-2.05575543,-0.6538218,-1.250073754,0.3932571969,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.977504739,7,7,10,8,11,5,2,1,5,3) # of groups=5,1
250167,-0.046545083,-0.053746385,1.2928079509,0.1951573729,0.4901468246,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3641058674,5,4,6,8,10,5,2,1,5,3) # of groups=5,4
250168,-1.361561183,-0.279164258,-0.239024692,-0.257935838,0.2180712095,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.444122369,4,5,9,8,10,5,2,1,5,3) # of groups=5,2
25043F,0.8814508244,0.0452719572,-1.786751886,-0.149662137,-0.364638413,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.265888683,4,3,6,8,4,5,2,1,5,3) # of groups=5,3
260001,0.2221044122,-1.460553389,0.3634589825,-0.722140392,-0.397914136,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.399118381,7,6,10,8,11,5,2,1,5,3) # of groups=5,2
260005,0.2641581837,-0.806621581,-0.44536058,-0.325992223,0.6439152335,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.211769736,7,7,9,8,9,5,2,1,5,3) # of groups=5,3
260006,1.0847502895,-0.183253207,-0.335322093,-0.228869419,0.066545671,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0821927061,7,7,11,8,11,5,2,1,5,3) # of groups=5,4
