PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
200001,-0.350989105,-1.555221064,-0.020311568,0.803348294,-0.234690875,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.275261062,5,5,8,8,7,5,2,1,3) # of groups=5,3
200008,-1.572639718,0.728905821,-0.809399923,1.036444241,0.25586043,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.104968456,5,6,9,8,7,5,2,1,3) # of groups=5,3
200009,-1.267385682,2.395594115,0.409449851,0.202619586,-0.144221836,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.365554511,7,8,11,8,10,5,2,1,3) # of groups=5,4
200018,-0.398969983,-1.749372965,-0.10905605,0.046789472,0.092070468,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.47528564,5,2,8,8,5,4,1,1,2) # of groups=4,2
200019,-1.259365683,1.050073386,0.51904639,-0.855986925,0.065281416,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.112337453,5,7,10,8,8,5,2,1,3) # of groups=5,3
200020,1.185672955,0.31806742,-1.69264246,1.417928507,0.365885252,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.314292043,5,5,10,8,6,5,2,1,3) # of groups=5,4
200021,-1.385135621,0.429744285,0.852514593,0.344710032,0.047871403,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.058947892,5,6,10,8,8,5,2,1,3) # of groups=5,4
200024,-0.305575612,0.515578502,-0.133311228,-0.174593856,0.093768456,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.010286268,7,7,11,8,10,5,2,1,3) # of groups=5,3
200031,-0.133701077,-0.222206477,0.638304772,1.040958128,0.385511654,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.337399575,5,3,9,8,6,5,2,1,3) # of groups=5,4
200033,-0.756557874,0.663266036,-0.733901514,-1.206017127,0.038123473,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.442731489,7,7,11,8,10,5,2,1,3) # of groups=5,2
200034,-0.294321095,0.428889755,-0.429973307,-0.02390745,-0.020664228,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.072728369,5,3,10,8,8,5,2,1,3) # of groups=5,3
200037,0.714577796,0.006464681,1.207073294,0.643989015,0.399176567,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.613764241,4,2,6,8,6,4,1,1,2) # of groups=4,4
200039,0.48296997,0.213721107,-0.790625253,0.658707674,-0.707261412,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0393788,6,8,10,8,9,5,2,1,3) # of groups=5,4
200041,-1.314359405,0.084055404,0.237178585,0.880986658,0.459769053,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.03050176,3,3,7,8,7,5,2,1,3) # of groups=5,4
200050,-0.006972072,0.6508582,-0.991455525,-0.387434256,0.449272619,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.107788089,5,3,10,8,8,5,2,1,3) # of groups=5,3
200052,-1.104150261,0.46119001,-0.843783987,1.861848109,0.774157332,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.175421731,4,2,8,8,5,4,1,1,2) # of groups=4,3
200063,-0.680455416,0.162588383,0.365435697,0.429770714,0.553926071,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.127485792,5,3,10,8,6,5,2,1,3) # of groups=5,4
201300,-0.148459182,0.235415177,,,0.574482641,0.22,0.22,0.22,0.22,0.12,,0.392857143,0.392857143,,0.214285714,0.157264707,3,0,6,0,4,3,1,1,1) # of groups=3,3
201301,,,0.25141842,,1.531429422,0.22,0.22,0.22,0.22,0.12,,,,0.647058824,0.352941177,0.703187009,0,1,0,0,2,0,0,0,,
201302,-0.098664797,1.489492855,-1.238384551,1.536714638,0.661560672,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.451002073,4,2,5,8,3,4,1,1,2) # of groups=4,4
201303,-0.758007889,0.691020177,,,0.643015855,0.22,0.22,0.22,0.22,0.12,,0.392857143,0.392857143,,0.214285714,0.111472511,1,0,2,0,4,1,0,0,,
201304,0.015339972,0.465345241,-8.025067871,1.943379625,0.762168206,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.140760483,1,1,4,8,2,2,0,0,,
201305,1.133802287,0.695744279,,,-0.458566665,0.22,0.22,0.22,0.22,0.12,,0.392857143,0.392857143,,0.214285714,0.620486152,3,0,5,0,2,2,1,0,,
201306,-0.245900022,1.171990021,-2.809382748,0.75726496,0.440686897,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.194843686,3,1,4,8,4,4,1,1,2) # of groups=4,3
201307,-1.311606842,0.327960327,-1.000633119,1.503232252,1.290976295,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.049086731,3,1,5,8,1,3,1,1,1) # of groups=3,3
201308,-1.322443327,0.13013022,-0.984226013,1.471244759,0.100287894,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.143130212,3,1,4,8,3,4,1,1,2) # of groups=4,3
201309,0.19089454,0.675073357,-0.870986361,0.872415229,0.039185735,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.195529577,4,1,5,8,4,4,1,1,2) # of groups=4,3
201310,-0.088438107,0.620721559,-0.108284003,0.009534857,0.539315011,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.160095349,3,1,6,8,4,4,1,1,2) # of groups=4,3
201311,-0.207176196,0.895089938,-0.827688847,0.872278862,0.494990609,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2205497,2,1,5,8,3,3,0,0,,
201312,-0.990093422,0.468045259,-0.364455601,-0.017541687,1.002680708,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.078568314,5,3,8,8,4,5,2,1,3) # of groups=5,3
201313,-2.027725721,0.075852488,-0.974234279,0.593367263,0.351530656,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.471019176,3,1,4,8,3,4,1,1,2) # of groups=4,2
201314,0.196887635,1.12736594,0.817222536,2.004181619,-0.557048483,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.845198882,5,3,8,8,4,5,2,1,3) # of groups=5,5
201315,0.011995141,0.76240697,-0.411243707,1.255907217,0.526983263,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.419432428,4,2,9,8,5,4,1,1,2) # of groups=4,4
210001,-0.769059295,-0.640121658,-0.403158251,-0.442447276,-0.028776394,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.499506193,6,8,10,8,7,5,2,1,3) # of groups=5,2
